club_name,club_link
Gladbach,https://fbref.com/en/squads/32f3ee20/2010-2011/Monchengladbach-Stats
Hamburger SV,https://fbref.com/en/squads/26790c6a/2010-2011/Hamburger-SV-Stats
Hannover 96,https://fbref.com/en/squads/60b5e41f/2010-2011/Hannover-96-Stats
Hoffenheim,https://fbref.com/en/squads/033ea6b8/2010-2011/Hoffenheim-Stats
Kaiserslautern,https://fbref.com/en/squads/73a27a73/2010-2011/Kaiserslautern-Stats
Köln,https://fbref.com/en/squads/bc357bf7/2010-2011/Koln-Stats
Leverkusen,https://fbref.com/en/squads/c7a9f859/2010-2011/Bayer-Leverkusen-Stats
Mainz 05,https://fbref.com/en/squads/a224b06a/2010-2011/Mainz-05-Stats
Nürnberg,https://fbref.com/en/squads/6f2c108c/2010-2011/Nurnberg-Stats
Schalke 04,https://fbref.com/en/squads/c539e393/2010-2011/Schalke-04-Stats
St. Pauli,https://fbref.com/en/squads/54864664/2010-2011/St-Pauli-Stats
Stuttgart,https://fbref.com/en/squads/598bc722/2010-2011/Stuttgart-Stats
Werder Bremen,https://fbref.com/en/squads/62add3bf/2010-2011/Werder-Bremen-Stats
Wolfsburg,https://fbref.com/en/squads/4eaa11d7/2010-2011/Wolfsburg-Stats
Augsburg,https://fbref.com/en/squads/0cdc4311/2011-2012/Augsburg-Stats
Bayern Munich,https://fbref.com/en/squads/054efa67/2011-2012/Bayern-Munich-Stats
Dortmund,https://fbref.com/en/squads/add600ae/2011-2012/Dortmund-Stats
Freiburg,https://fbref.com/en/squads/a486e511/2011-2012/Freiburg-Stats
Gladbach,https://fbref.com/en/squads/32f3ee20/2011-2012/Monchengladbach-Stats
Hamburger SV,https://fbref.com/en/squads/26790c6a/2011-2012/Hamburger-SV-Stats
Hannover 96,https://fbref.com/en/squads/60b5e41f/2011-2012/Hannover-96-Stats
Hertha BSC,https://fbref.com/en/squads/2818f8bc/2011-2012/Hertha-BSC-Stats
